Khóa,Mã HP,Tên HP,Số TC,Ngành,Kiểu môn
26,TC315,Công nghệ mạng truyền thông,3,TC,1
26,CS311,Lập trình ứng dụng di động,3,TC,0
26,CS411,Ứng dụng kỹ thuật vi xử lý trong đo lường và điều khiển,2,TC,0
26,IS333,Phân tích thiết kế hệ thống thông tin,2,TC,0
26,NW322,Lập trình mạng,3,TC,0
26,TC403,Mạng truy nhập,2,TC,0
26,TC473,Quản lý mạng viễn thông,3,TC,0
26,IP402,Thực tập ngành Truyền thông và mạng máy tính,2,TC,1
26,TC487,CĐTN  Truyền thông và mạng máy tính,6,TC,1
26,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,TE,1
26,CS100,Tin đại cương,2,TE,1
26,MA142,"Đại số tuyến tính, giải tích và ứng dụng trong kinh tế",4,TE,1
26,MA231,Xác suất thống kê ứng dụng,4,TE,1
26,MA241,Toán tài chính,2,TE,1
26,CS121,Ngôn ngữ lập trình,3,TE,1
26,CS122,Lập trình hướng đối tượng,3,TE,1
26,CS212,Kiến trúc máy tính,3,TE,1
26,IS222,Cơ sở dữ liệu,3,TE,1
26,NW212,Mạng máy tính,2,TE,1
26,CS223,Lập trình Java,3,TE,1
26,CS224,Lập trình .Net,3,TE,1
26,CS325,Lập trình PHP,3,TE,1
26,IS322,Hệ quản trị cơ sở dữ liệu,3,TE,1
26,IS332,Phân tích thiết kế hướng đối tượng,3,TE,1
26,IS333,Phân tích thiết kế hệ thống thông tin,2,TE,1
26,IS381,Hệ thống thông tin quản lý,3,TE,1
26,SE302,Công nghệ phần mềm,2,TE,1
26,IS206,Kỹ năng soạn thảo văn bản,3,TE,0
26,IS207,Ứng dụng Excel,3,TE,0
26,IS424,Lập trình cơ sở dữ liệu,3,TE,0
26,SE312,Kiểm thử và đảm bảo chất lượng phần mềm,2,TE,0
26,SE422,Quản lý dự án phần mềm,3,TE,0
26,NW312,Thiết kế và quản trị mạng,3,TE,0
26,IP403,Thực tập ngành hệ thống thông tin quản lý,2,TE,1
26,IS487,CĐTN  Hệ thống thông tin quản lý,6,TE,1
26,IS484,CĐTN  Cơ sở dữ liệu,6,TE,1
26,SE487,CĐTN  Phát triển phần mềm,6,TE,1
26,NW439,CĐTN  An toàn mạng,6,TE,1
27,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,TM,1
27,MA103,Số và cấu trúc đại số,2,TM,1
27,CS100,Tin đại cương,2,TM,1
27,MA110,Giải tích 1,3,TM,1
27,MA111,Giải tích 2,3,TM,1
27,MA120,Đại số tuyến tính,3,TM,1
27,MA231,Xác suất thống kê ứng dụng,4,TM,1
27,MI201,Toán rời rạc,3,TM,1
27,CF212,Cấu trúc dữ liệu,3,TM,1
27,CS110,Kỹ thuật số,2,TM,1
27,CS121,Ngôn ngữ lập trình,3,TM,1
27,CS122,Lập trình hướng đối tượng,3,TM,1
27,CS212,Kiến trúc máy tính,3,TM,1
27,CS315,Nguyên lý hệ điều hành,3,TM,1
27,IS222,Cơ sở dữ liệu,3,TM,1
27,NW212,Mạng máy tính,2,TM,1
27,MA313,Hàm biến phức,2,TM,1
27,MA323,Số học thuật toán,2,TM,1
27,MA340,Giải tích số,3,TM,1
27,MI302,Tối ưu hóa,2,TM,1
27,MI311,Mã hóa và an toàn dữ liệu,2,TM,1
27,MI312,Đồ họa,2,TM,1
27,MI321,Trí tuệ nhân tạo,3,TM,1
27,MI331,Hệ thống hỗ trợ tính toán,2,TM,1
27,CF201,Lý thuyết thuật toán,3,TM,1
27,CF302,"Văn phạm, ngôn ngữ hình thức, otomat và chương trình dịch",3,TM,1
27,CF303,Hệ thống TEX,2,TM,1
27,MI414,Giao diện người máy,2,TM,1
27,MI425,Chuyên đề cơ sở dữ liệu và trí tuệ nhân tạo 1,4,TM,1
27,MI426,Chuyên đề cơ sở dữ liệu và trí tuệ nhân tạo 2,3,TM,1
27,CF415,Chuyên đề cấu trúc dữ liệu và thuật toán 1,4,TM,1
27,CF416,Chuyên đề cấu trúc dữ liệu và thuật toán 2,3,TM,1
27,CF425,Chuyên đề xử lý tín hiệu ảnh,4,TM,1
27,CF426,Chuyên đề xử lý tín hiệu âm thanh,3,TM,1
27,CF321,Xử lý tín hiệu số,2,TM,1
27,MI489,KLTN ngành Toán ứng dụng,6,TM,1
27,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,TI,1
27,MA103,Số và cấu trúc đại số,2,TI,1
27,CS100,Tin đại cương,2,TI,1
27,MA110,Giải tích 1,3,TI,1
27,MA111,Giải tích 2,3,TI,1
27,MA120,Đại số tuyến tính,3,TI,1
27,MA231,Xác suất thống kê ứng dụng,4,TI,1
